id,municipality,title_field_ar,title_field_en,title_field_he,field_subtitle_ar,field_subtitle_en,field_subtitle_he,body_ar,body_en,body_he,field_topics,field_user_types,field_image
1,1,سوف تبدأ التعقيم محايد القطط الضالة يوم الاحد 05/03/17,,מבצע עיקור סירוס חתולי רחוב יתחיל ביום א 5.3.17,العنوان الثانوي,,,,,,1|2,Residents,terrified-cat.jpeg
2,1,عملية الإنتهاء الديون الضريبية الممتلكات التجارية,,מבצע סגירת חובות ארנונה לעסקים,وهذه فرصة لإغلاق جميع المواضيع المفتوحة,,זו ההזדמנות לסגור את כל הנושאים הפתוחים,إدارة مجموعات تعلن: الفرصة الأخيرة إغلاق الممتلكات التجارية الديون الضريبية مسيطرا على المباراة. عجل تسوية الديون الخاصة بك وتجنب العقوبات. يسري هذا العرض حتى -3.4.17.,,"מחלקת הגבייה מודיעה: הזדמנות אחרונה לסגירת חובות הארנונה של עסקים ברשות. הזדרזו להסדיר את חובותיכם, והמנעו מקנסות. המבצע בתוקף עד ה-3.4.17.",1,Businesses,money-bag.png
3,1,عملية إغلاق ديون ضريبة الأملاك للسكان,,מבצע סגירת חובות ארנונה לתושבים,إذا كنت قد نسيت لدفع، لا يزال إصلاح,,"אם שכחתם לשלם, אפשר עוד לתקן",إدارة مجموعات تعلن: الفرصة الأخيرة لإغلاق ديون ضريبة الأملاك للسكان. عجل تسوية الديون الخاصة بك وتجنب العقوبات. يسري هذا العرض حتى -8.4.17.,,"מחלקת הגבייה מודיעה: הזדמנות אחרונה לסגירת חובות הארנונה לתושבים. הזדרזו להסדיר את חובותיכם, והמנעו מקנסות. המבצע בתוקף עד ה-8.4.17.",2,Residents,money.jpeg
4,2,​إعلان من الشرطة,,מבצע אכיפת חוקי התנועה,,,,"نحيطكم علماً بان الشرطة ستقوم ابتداءً من 2017-3-1 بحملة لتنظيم السير في القرية, وبأنه على كل سائق تراكتورون او الدراجات النارية ان يتوخى الحيطة والحذر ولبس الخوذه وعدم الاسراع في الشوارع وإتباع قوانين السير للمحافظة على سلامة وأمن المواطنين.",,"החל מה-1/3/17 יערך מבצע אכיפה מוגברת של חוקי התנועה בישוב, בדגש על נושאי מהירות וחבישת קסדה.",3|4,Residents,
5,2,​تسجيل وتعيين تواريخ ومواعيد الاعراس نداء للعرسان رجالاً ونساءً,,רישום חתונות,,,,"تسجيل تواريخ ومواعيد الاعراس في قرية طوبا ألزنغرية

أهلاً وسهلاً بالجميع, ألمقبلين والمقبلات للزواج من اجل راحتكم والمساعدة في تنظيم الاعراس نرجوا التسجيل عبر هذا الرابط, وهذا بعد أن توجه العديد من الشباب والفتيات الذين عينوا مواعيداً لأعراسهم ومناسباتهم, انه تبين ان عُرسين او اكثر في نفس الليلة واليوم في القرية, مما يؤدي الى عدم مشاركة جميع المحتفلين من اهل القرية بأفراحهم. وبعد هذا التوجه ادعو كافة العرسان/ العرايس/ وذويهم ان يسجلوا المواعيد عبر هذا الرابط حتى لا تكون مضاعفات وبلبلات وتكون مواعيد محدده ومعروفه.

يرجى تسجيل رقم الهاتف للتوثيق والمتابعة.
أهلاً وسهلاً بالجميع, ألمقبلين والمقبلات للزواج من اجل راحتكم والمساعدة في تنظيم الاعراس نرجوا التسجيل عبر هذا الرابط, وهذا بعد أن توجه العديد من الشباب والفتيات الذين عينوا مواعيداً لأعراسهم ومناسباتهم, انه تبين ان عُرسين او اكثر في نفس الليلة واليوم في القرية, مما يؤدي الى عدم مشاركة جميع المحتفلين من اهل القرية بأفراحهم. وبعد هذا التوجه ادعو كافة العرسان/ العرايس/ وذويهم ان يسجلوا المواعيد عبر هذا الرابط حتى لا تكون مضاعفات وبلبلات وتكون مواعيد محدده ومعروفه.

يرجى تسجيل رقم الهاتف للتوثيق والمتابعة.",,כל הזוגות המתכננים את חתונתם מוזמנים לרשום ולפרסם את חתונותיהם בלוח המצורף.,3,Residents,
6,2,تسجيل الطلاب للسنه الدراسية 2017-2018,,רישום תלמידים לבתי הספר 2017-2018,,,,"الاهالي الكرام
السلام عليكم

الموضوع: تسجيل الطلاب للسنه الدراسية 2017-2018 .

نعلن لكم عن بداية التسجيل للروضات والبساتين للسنه الدراسية القادمة 2017-2018 وذلك حسب الاجيال الأتية:

جيل 5 سنوات: من تاريخ 1/1/2012 حتى 31/12/2012.
جيل 4 سنوات: من تاريخ 1/1/2013 حتى 31/12/2013.
جيل 3 سنوات: من تاريخ 1/1/2014 حتى 31/12/2014.

يبدأ التسجيل لدى مركزة الروضات والبساتين بقسم المعارف (الموجود في مبنى المدرسة الثانوية مقابل مبنى العلوم) من يوم الاربعاء  الموافق 1/2/2017 ويستمر حتى الخميس الموافق 23/2/2017.
تسجيل ااطفال حسب مناطق التسجيل ( حارات) لكل روضه او بستان والعدد الكلي في كل صف.
الرجاء الحضور بالموعد المحدد والتزود ببطاقة الهوية للوالدين",,"הודעה על פתיחת הרישום לגני ילדים עבור שנת הלימודים הבאה 2017-2018, על פי גילאים:

גיל 5: מיום 1.1.2012 עד 31/12/2012.
גיל 4: מיום 2013/01/01 עד 2013/12/31.
גיל 3: מיום 2014/01/01 עד 2014/12/31.",4,Residents,
7,3,,,הצלחה למרכז המדעים בקריית מלאכי,,,"מרכז המדעים בקריית מלאכי רושם לעצמו הצלחה במהלך השנה הזו. במהלך השנה באו בשעריו אלפי תלמידים מכל שכבות הגיל כדי ללמוד ולהתעדכן בחידושי המדע. השנה פעלו קבוצות יזמים צעירים בצד הרצאות מומחים בתחומי המדע. עשרות תלמידים ""צללו"" לעולם הרובוטיקה בצד פעילות למיחזור ושיגור טילים. טליה ברנד מנהלת המרכז:""אנחנו רואים את מרכז המדעים כמוקד הקידמה והידע בתחומי המדע והטכנולוגיה ומטרתנו היא, שהידע הזה יגיע לכל ילד בעיר""

",,,"מרכז המדעים בקריית מלאכי יכול לרשום לעצמו הישג מרשים בכל הנוגע לחשיפת המדע והטכנולוגיה למספר שיא של תלמידים בשכבות הגיל השונות.

במסגרת המרכז ניתנה השנה סדרת הרצאות מומחים בנושאי שינה, ריח וזיכרון, על ידי החוקרת הגברת ענת ארזי, ממכון ויצמן. הילדים למדו שניתן ללמוד תוך כדי חלימה וכן שחוש הריח עוזר ללמידה.

הרצאה נוספת שריתקה את התלמידים עסקה במסתורי המוח ובתפיסה החושית, הרצאה שהתפתחה לדיון, שאלות ותשובות.

כל ההרצאות ניתנו על ידי עמותת ""בשער"", שהציבה לעצמה מטרה ,להביא את קדמת המדע לפריפריה.

פרויקט מדהים נוסף, שמתקיים מזה כמה שנים במרכז המדעים לתלמידי כיתות ט , קרוי ""גם אני יכול"". במסגרת זו, נחשפו התלמידים לעולמם של אנשים בעלי צרכים מיוחדים ומתכננים עבורם מוצרים טכנולוגיים שישפרו את איכות חייהם. שני מוצרים תוכננו ויושמו. האחד הוא הליכון שתוכנן על ידי התלמיד, דוד לוי ,תלמיד כיתה ט מתיכון ""דרכא"". ההליכון בנוי משלושה גלגלים המחליפים את הגלגלים הקדמיים ומאפשרים לנוע על מדרכות. כמו כן חוברה להליכון תאורה וגם תיק אישי.

המוצר השני שתוכנן ונבנה על ידי שלוש בנות , שלי אדרי, נדיה אברמצומוב ומאיה עובדיה, הוא ה""אנטיפול"". זהו מתקן המסייע לנכי גפיים תחתונות להתקלח בעמידה תוך שמירה שלא יפלו במקלחת.

900 תלמידים מכיתות א-ג מבתי הספר היסודיים מגיעים מידי שבוע למרכז המדעים ללמידת חקר בכימיה, פיזיקה וביולוגיה. במסגרת הלימודים הייחודית עורכים התלמידים תצפיות וניסויים , לומדים לשאול שאלות ולהסיק מסקנות מניסויים. ""זאת תוכנית העשרה ייחודית שבנינו עבור תלמידים צעירים כדי לחשוף אותם לעולם המדע והחקר. התלמידים זוכים להעשרה , מעבר לשיעורי המדעים הניתנים בבתי הספר"" מסבירה טליה.

בהפנינג מדע שהתקיים השנה בתחומי מרכז המדעים השתתפו למעלה מ-1000 תלמידים והורים. הם עברו בתחנות הפעלה שונות , כגון שיגור טילים, משחת שיניים לפילים , פלניטריום רובוטיקה ועוד. את התחנות הפעילה קבוצת המנהיגות של מחוז הדרום.

תכנית הדגל שצברה תאוצה בשנים האחרונות הוא הרובוטיקה , המשלב פיסיקה, מתימטיקה , חשיבה יצירתית ומחשבים. תלמידי כיתות ז' בנו רובוטים ולמדו לתכנת אותם.

תכנית רובוטיקה נוספת נפתחה לפני כחודשיים בשיתוף עמותת וואי –טק ,משרד הקליטה ועיריית קריית מלאכי. במסגרת זו נפתחו עוד ארבע קבוצות נוספות שיועדו לבתי הספר היסודיים.

גם נושא הבריאות טופל במסגרת מרכז המדעים. במסגרת שבוע הבריאות שהתקיים השנה התלמידים מכיתות חטיבת הביניים חקרו את השפעת האורגניזמים על בריאות האדם. כמו כן נערכו פעילויות ספורט והפסקות פעילות, והתלמידים יצרו יצירות אומנות מחומרים בשימוש חוזר.",,Residents,km-news1.jpg
8,3,,,ביקור שר התחבורה,,,,,,"שר התחבורה מר ישראל כץ, מנכ”ל נתיבי ישראל ניסים פרץ, סמנכלי”ם ומנהלי אגפים הגיעו אמש לפגישת עבודה עם ראש העיר אליהו זהר וחברי מועצת העיר , הסגן מישל טפירו , צלי מזרחי, שלום אלדר , שלומי מלכה מהאופוזיציה הגיע בוריס בורכוב , בנוסף השתתפו בפגישה ראש מועצת באר טוביה דרור שור , ומנכ”ל העירייה תמיר, הגזבר צביקה דוידי ומהנדס העיר נועם רווחה .בפגישה הופנו אל השר מס’ בקשות :

מחלפים בכניסה לאזור התעשייה תימורים ע”מ לשייך את אזור התעשייה.
סלילת כביש באזור בית העלמין לכיוון שכונת גבעת הסביונים.
קידום הסדרי תחבורה ציבורית עם הוספת קווים שיכנסו לקריה .
ריענון והחלפת תחנות הסעה חדשות .
שבילי אופניים בפארק העירוני וכן באזור נחל האלה .
כביש עוקף המחנה כבר בשנת 2016 להפוך את כביש הורביץ לכביש פנימי ולעשות כביש שיעקוף את שכונת גיבשטיין .
כבר אושר שהחל מינואר 2016 יקבלו תושבי קריית מלאכי הנחה מיוחדת כרטיס חופשי חודשי הכולל אוטובוסים ורכבות לאשקלון , קריית מלאכי ות”א, במחיר עלות של 495 ₪ . כרטיס שבועי בערים הנ”ל 190 ₪ וחופשי יומי ב 44 ₪ .
שילוט אלקטרוני – בקריה מותקנים 3 שלטים עד סוף השנה יותקנו עוד 2.
שירות עירוני – החל מס’ 2016 חברת דן תפעיל 5 קווי שירות פנימיים בין שכונות העיר. גם לשכונות החדשות שנבנות וכן מרכז העיר, אזור התעשייה תימורים , צומת קסטינה ועוד. 3 נסיעות בשעה .
שרות אזורי – השרות האזורי יכלול קווי שרות חדשים אשר יופעלו במיניבוסים חדשים ליישובי המועצות האזוריות יואב, שפיר ובאר טוביה.
החל מחודש זה יוצאים למכרז לתחילת ביצוע והשלמת תחנת הרכבת שתיקרא “מלאכי צפון” בין כפר מנחם לכפר הריף , תחילת ביצוע והשלמת התחנה עד אפריל 2016 שכל עבודות סיום תחנת הרכבת אמורות להסתיים לקראת ספטמבר 2017.
ראש העיר אליהו זהר הודה מאוד לשר ישראל כץ ומסר ” אני סומך עליך שאכן תתיר את החסמים לגבי אזור התעשייה תימורים כי אזור התעשייה ברגע שיעבוד באופן מלא יגדיל את הכנסות העיר במיליוני שקלים , אני סמוך ובטוח שתסייע לקריית מלאכי.”",,Residents|Businesses,km-news2.jpg
9,3,,,שבוע הבטיחות בדרכים “הולכים על בטוח”,,,,,,"עקב ריבוי תאונות הדרכים בישראל מסתבר ששליש מההרוגים היום הם הולכי רגל .
במסגרת יום הבטיחות בדרכים בשיתוף עם שרי הממשלה, תחנות רדיו, ראשי רשויות הוחלט שעל כל ראש רשות להקדיש היום זמן לסיוע לתלמידים לחצות כבישים ומטרתו העלאת המודעות לבטיחות בדרכים בכלל ובטיחותם של הולכי הרגל בפרט. ראש העיר אליהו זהר הגיע לבית הספר הראל וסייע לתלמידים לחצות את הכביש יחד עם מנהל בי”ס אבי חדד ומנהל המרכז לבטיחות בדרכים סמי וקנין. בנוסף נכנס ראש העיר לכתה ו’ ושוחח עימם על החשיבות של הנושא, וביקש מהם כבוגרים של בית הספר לסייע לתלמידים הקטנים לחצות בבטחה, כשאר הם מגיעים לבית הספר וכאשר הם מסיימים את שעות הלימודים .

כמו כן בכל בתי הספר בעיר פועלים השבוע בנושא הבטיחות בדרכים .",,Residents,km-news3.jpg
10,4,السحرية فتح فروع رعاية المراكز المجتمعية متعددة الأغراض مجلس آل,,פתיחת שלוחות הרווחה במרכזים הקהילתיים הרב -תכליתיים במועצת אל-קסום,,,,,,,,Residents,
